Order_ID,Order_Date,Customer,Region,Product_Category,Product,Quantity,Unit_Price,Discount,Sales,Profit
1001,4/13/2025,Customer_11,East,Office Supplies,Notebook,4,408.88,0.15,1390.19,373.07
1002,2/21/2025,Customer_16,North,Electronics,Tablet,2,965.4,0.2,1544.64,425.05
1003,4/3/2025,Customer_73,North,Electronics,Phone,3,15.51,0,46.53,7.23
1004,1/15/2025,Customer_59,South,Electronics,Laptop,1,406.86,0.1,366.17,43.65
1005,4/17/2025,Customer_70,South,Office Supplies,Notebook,5,483.82,0,2419.1,479.19
1006,3/13/2025,Customer_3,East,Office Supplies,Stapler,5,649.5,0.05,3085.12,857.94
1007,3/2/2025,Customer_20,South,Electronics,Laptop,4,1104.63,0.15,3755.74,385.59
1008,1/21/2025,Customer_59,East,Electronics,Phone,2,422.15,0.05,802.08,165.02
1009,4/13/2025,Customer_36,South,Electronics,Laptop,1,422.87,0,422.87,87.91
1010,3/24/2025,Customer_19,North,Office Supplies,Pen Pack,2,887.63,0,1775.26,414.13
1011,3/28/2025,Customer_67,East,Office Supplies,Stapler,1,548.14,0.2,438.51,36.35
1012,3/16/2025,Customer_19,East,Electronics,Headphones,4,277.28,0.1,998.21,228.55
1013,3/16/2025,Customer_20,North,Office Supplies,Printer Paper,4,548.4,0.1,1974.24,547.37
1014,3/29/2025,Customer_71,East,Electronics,Phone,5,177.62,0.05,843.7,80.08
1015,4/27/2025,Customer_52,East,Office Supplies,Stapler,2,219.9,0.15,373.83,40.89
1016,4/10/2025,Customer_33,South,Furniture,Table,5,603.06,0.1,2713.77,794.72
1017,4/14/2025,Customer_40,East,Electronics,Phone,2,508.52,0.2,813.63,77.49
1018,1/24/2025,Customer_39,West,Furniture,Chair,5,1098.67,0.05,5218.68,1375.63
1019,1/3/2025,Customer_1,North,Electronics,Headphones,3,441.25,0.05,1257.56,217.65
1020,1/22/2025,Customer_11,South,Electronics,Tablet,3,700.9,0.2,1682.16,188.08
1021,2/22/2025,Customer_57,South,Furniture,Table,3,762.39,0.15,1944.09,520.41
1022,1/2/2025,Customer_50,West,Electronics,Headphones,3,25.58,0.2,61.39,9.9
1023,3/29/2025,Customer_23,North,Office Supplies,Notebook,1,799.61,0.15,679.67,121.46
1024,4/18/2025,Customer_31,North,Furniture,Chair,3,221.86,0.2,532.46,74.44
1025,1/30/2025,Customer_42,South,Office Supplies,Printer Paper,4,1153.67,0.2,3691.74,731.84
